Fecha,Grupo,Producto,Mercado,Precio_kg
abr-13,FRUTAS,Uva red globe nacional,"Manizales, Centro Galerías",2951.0
abr-13,GRANOS Y CEREALES,Arroz de primera,"Manizales, Centro Galerías",2347.0
abr-13,GRANOS Y CEREALES,Arveja verde seca importada,"Manizales, Centro Galerías",2160.0
abr-13,GRANOS Y CEREALES,Fríjol cargamanto rojo,"Manizales, Centro Galerías",4640.0
abr-13,GRANOS Y CEREALES,Lenteja importada,"Manizales, Centro Galerías",1776.0
abr-13,GRANOS Y CEREALES,Maíz amarillo cáscara,"Manizales, Centro Galerías",973.0
abr-13,GRANOS Y CEREALES,Maíz blanco trillado,"Manizales, Centro Galerías",1227.0
abr-13,LACTEOS Y HUEVOS,Huevo blanco A,"Manizales, Centro Galerías",212.0
abr-13,LACTEOS Y HUEVOS,Huevo blanco AA,"Manizales, Centro Galerías",224.0
abr-13,LACTEOS Y HUEVOS,Huevo blanco extra,"Manizales, Centro Galerías",246.0
abr-13,LACTEOS Y HUEVOS,Queso campesino,"Manizales, Centro Galerías",6530.0
abr-13,LACTEOS Y HUEVOS,Queso costeño,"Manizales, Centro Galerías",7870.0
abr-13,PESCADOS,Bocachico importado congelado,"Manizales, Centro Galerías",6400.0
abr-13,PESCADOS,Trucha en corte mariposa,"Manizales, Centro Galerías",1200.0
abr-13,PROCESADOS,Azúcar sulfitada,"Manizales, Centro Galerías",1660.0
abr-13,PROCESADOS,Café molido,"Manizales, Centro Galerías",1533.3
abr-13,PROCESADOS,Chocolate amargo,"Manizales, Centro Galerías",1689.3000000000002
abr-13,PROCESADOS,Gelatina,"Manizales, Centro Galerías",1590.1999999999998
abr-13,PROCESADOS,Harina de trigo,"Manizales, Centro Galerías",1867.0
abr-13,PROCESADOS,Harina precocida de maíz,"Manizales, Centro Galerías",2761.0
abr-13,PROCESADOS,Manteca,"Manizales, Centro Galerías",4333.0
abr-13,PROCESADOS,Margarina,"Manizales, Centro Galerías",8600.0
abr-13,PROCESADOS,Panela redonda morena,"Manizales, Centro Galerías",1867.0
abr-13,PROCESADOS,Sal yodada,"Manizales, Centro Galerías",800.0
abr-13,PROCESADOS,Sardinas en lata,"Manizales, Centro Galerías",6138.0
abr-13,"TUBERCULOS, RAICES Y PLATANOS",Arracacha blanca,"Manizales, Centro Galerías",1250.0
abr-13,"TUBERCULOS, RAICES Y PLATANOS",Papa capira,"Manizales, Centro Galerías",524.0
abr-13,"TUBERCULOS, RAICES Y PLATANOS",Papa criolla limpia,"Manizales, Centro Galerías",1226.0
abr-13,"TUBERCULOS, RAICES Y PLATANOS",Papa R-12 negra,"Manizales, Centro Galerías",524.0
abr-13,"TUBERCULOS, RAICES Y PLATANOS",Papa única,"Manizales, Centro Galerías",472.0
abr-13,"TUBERCULOS, RAICES Y PLATANOS",Plátano dominico hartón maduro,"Manizales, Centro Galerías",689.0
abr-13,"TUBERCULOS, RAICES Y PLATANOS",Plátano dominico hartón verde,"Manizales, Centro Galerías",689.0
abr-13,"TUBERCULOS, RAICES Y PLATANOS",Yuca ICA,"Manizales, Centro Galerías",1067.0
abr-13,VERDURAS Y HORTALIZAS,Ahuyama,"Manizales, Centro Galerías",700.0
abr-13,VERDURAS Y HORTALIZAS,Ajo,"Manizales, Centro Galerías",3771.0
abr-13,VERDURAS Y HORTALIZAS,Apio,"Manizales, Centro Galerías",880.0
